Bairro,População,Criticidade,Impacto (m2),Custo (R$ mil)
Austin,23216,3,1823,39
Belmonte,32134,10,1422,109
Belo Vale,24511,2,503,67
Humanitá,36059,1,2863,142
Biquinha,5294,3,1754,44
Boa Esperança,44786,9,1838,55
Botujuru,31718,6,914,22
Brás de Pina,23655,9,2549,48
Cachoeira Grande,18526,3,2122,50
Cabral,5127,4,1983,66
Cabuçu,29731,10,2858,141
Califórnia,7861,2,1220,66
Centro,25806,3,1932,37
Cidade Olímpica,38375,7,753,35
Coroado,28646,1,1565,90
Da Prata,31722,2,553,145
Donana,43172,3,1183,96
Dona Elvira,10943,4,2588,51
Dona Eulália,18389,10,1957,138
Engenheiro Pedreira,36600,6,1322,99
Fazenda da República,28510,4,1570,69
Gato Grande,57000,1,2329,92
Geraldo,37836,9,1334,81
Guarujá,29279,5,2784,38
Jardim Guandu,55722,3,2445,20
Jardim Toronto,40456,7,2152,98
Lote XV,50813,5,1632,114
Miguel Couto,6831,9,2257,97
Montese,13606,3,1532,146
Moquetá,7106,3,1545,145
Nova Aurora,48205,8,2434,40
Nova Belém,17004,7,1768,107
Nova Era,40789,4,1693,123
Nova Posse,39087,7,1274,121
Parque Fluminense,11455,5,2864,86
Parque Nova Iguaçu,46024,1,1431,67
Parque Presidente Vargas,6734,8,670,43
Ceramica,23513,6,1186,147
Posse,10921,5,2927,73
Quintino,15244,10,2694,65
Riachão,11374,2,1423,81
Riachinho,17036,8,1988,93
Santa Eugênia,49365,2,2385,80
Santa Inês,39486,6,2581,56
Santa Rita,57962,9,2015,83
Corumba,47511,5,1838,116
São Bento,13434,2,597,141
Santo Antônio,51924,4,2199,114
Santo Elias,25373,1,1926,129
Carmari,27478,5,1623,106
Tingui,7714,1,1688,35
Tingui Mirim,30145,8,1098,80
Tinguá,4094,5,1647,82
Três Bocas,17177,3,1359,56
Vila de Cava,16413,8,2802,120
Vila da Sapê,18944,10,2714,129
Vila São João,55706,1,965,67
Vila Tinguá,44928,9,1023,20
Vila União,54232,3,2385,79
Zumbi,55952,1,2242,114
Bairro da Luz,23823,10,2022,70
Comendador Soares,23431,8,2088,66
Morro do Barão,6584,4,807,49
Morro do Castro,4549,4,1805,129
Morro do Escorrega,32627,6,999,25
Morro do Fogueteiro,36205,3,1762,112
Morro do São João,53683,5,1296,36
Bairro 1,38477,7,1040,37
Bairro 2,12575,3,920,118
Bairro 3,10681,5,1749,81
Bairro 4,18895,8,2660,116
Bairro 5,58657,4,766,130
Bairro 6,42716,6,2515,58
Bairro 7,45725,5,2714,128
Bairro 8,7621,7,931,48
Bairro 9,41531,6,2672,124
Bairro 10,9900,5,2607,41
Bairro 11,34570,1,2335,56
Bairro 12,14663,7,2596,88
Bairro 13,16899,9,2483,50
Bairro 14,8871,1,1170,101
Bairro 15,6764,6,868,33
Bairro 16,25342,2,974,41
Bairro 17,56070,6,1863,118
Bairro 18,14108,9,1663,26
Bairro 19,19254,1,1732,96
Bairro 20,21729,9,2991,129
Bairro 21,27284,2,2802,48
Bairro 22,58413,3,651,34
Bairro 23,36695,4,711,106
Bairro 24,30109,5,2887,49
Bairro 25,59306,7,2248,58
Bairro 26,7174,4,1812,45
Bairro 27,55719,4,743,136
Bairro 28,33785,5,2244,62
Bairro 29,31930,5,1917,66
Bairro 30,30379,10,1009,22
Bairro 31,17527,8,2768,90
Bairro 32,25028,3,2159,47
Bairro 33,29896,2,539,50
Bairro 34,27781,7,2516,74
Bairro 35,4675,8,2656,25
Bairro 36,29504,10,1308,118
Bairro 37,55763,4,940,139
Bairro 38,18276,2,766,145
Bairro 39,17301,1,1229,48
Bairro 40,24157,7,1142,79
Bairro 41,9547,10,500,83
Bairro 42,48879,10,1184,99
Bairro 43,30611,3,978,104
Bairro 44,19892,2,1140,148
Bairro 45,18609,10,2883,123
Bairro 46,52295,4,2241,55
Bairro 47,15713,2,1930,136
Bairro 48,6343,3,2400,35
Bairro 49,50761,1,784,101
Bairro 50,34776,4,1185,41
Bairro 51,30929,1,1948,42
Bairro 52,52663,5,962,50
Bairro 53,41933,6,1025,119
Bairro 54,23479,7,2120,24
Bairro 55,56735,10,1536,40
Bairro 56,8204,6,2816,100
Bairro 57,14026,4,1820,83
