Bairro,População,Criticidade,Impacto (m2),Custo (R$ mil),Prioridade,Qtd_Bueiros
Bairro 883,48343,10,2449,27,907.0370370370371,1
Bairro 605,19269,10,2062,26,793.0769230769231,1
Bairro 697,44321,10,2582,25,1032.8,1
Bairro 812,4451,8,2271,21,865.1428571428571,1
Bairro 377,39390,8,2935,23,1020.8695652173913,1
Bairro 258,42960,8,2872,29,792.2758620689655,1
Bairro 206,16972,7,2982,21,994.0,1
Bairro 459,52579,10,2243,30,747.6666666666666,2
Bairro 722,6851,8,2233,23,776.695652173913,1
Bairro 788,30378,8,2242,23,779.8260869565217,1
Bairro 699,17834,10,2630,32,821.875,2
Bairro 736,47492,10,2845,27,1053.7037037037037,1
Bairro 88,39750,6,2225,21,635.7142857142857,1
Bairro 346,31729,8,2379,28,679.7142857142857,1
Bairro 564,35060,9,2126,27,708.6666666666666,1
Bairro 64,50443,6,2118,20,635.4,1
Bairro 247,24117,9,2282,23,892.9565217391304,1
Bairro 561,12189,10,2564,41,625.3658536585366,2
Bairro 661,52115,8,2016,26,620.3076923076923,1
Bairro 519,15101,5,2835,23,616.304347826087,1
Bairro 741,27165,9,2364,35,607.8857142857142,2
Bairro 259,48966,9,2334,36,583.5,2
Bairro 67,37038,6,2083,21,595.1428571428571,1
Bairro 185,5236,4,2753,20,550.6,1
Bairro 822,16312,7,2133,24,622.125,1
Bairro 324,12298,9,1931,30,579.3,2
Bairro 696,44842,10,1244,23,540.8695652173913,1
Bairro 775,38914,9,1750,28,562.5,1
Bairro 381,32173,10,2785,46,605.4347826086956,2
Bairro 929,57301,8,1328,20,531.2,1
